资产 ID,智能耳标编号,牛只品种,性别,登记月龄,出生日期,初始体重,当前状态,引入渠道ID,引入渠道名称,平均日增重,成长记录次数,最新体重,累计用药次数,累计防疫次数,总增重,精料总量_kg,草料总量_kg,酒糟总量_kg,饲料总花费_元,喂养天数,日均精料_kg,日均草料_kg,日均酒糟_kg,日均花费_元,精料转化率,总饲料_kg,总饲料转化率,出售日期,出售价格,死亡日期,最终结局,总生命周期(天),每公斤增重成本,出栏盈亏,日均成本,has_growth,is_adg_outlier,has_feed,has_cost
9,3720304813,1,1,7,2022-05-16,320,1,4,,,1.0,390.0,0.0,1.0,70.0,,,,,,,,,,,0.0,,2023-11-13,23040.0,,已出售,546.0,,,,False,1,False,False
10,3722403245,1,1,7,2022-04-24,320,1,4,,,,,0.0,1.0,,,,,,,,,,,,0.0,,2023-11-13,20800.0,,已出售,568.0,,,,False,1,False,False
11,3720420541,1,1,7,2022-04-24,310,1,4,,,,,0.0,1.0,,,,,,,,,,,,0.0,,2023-11-13,21728.0,,已出售,568.0,,,,False,1,False,False
12,3722513133,1,1,7,2022-04-24,320,1,4,,,,,0.0,1.0,,,,,,,,,,,,0.0,,2023-11-13,21024.0,,已出售,568.0,,,,False,1,False,False
13,3721562573,1,1,7,2022-09-18,290,1,4,,,,,0.0,1.0,,,,,,,,,,,,0.0,,2023-11-13,21792.0,,已出售,421.0,,,,False,1,False,False
14,3720355757,1,1,7,2022-04-24,290,1,4,,,,,0.0,1.0,,,,,,,,,,,,0.0,,2023-11-13,21728.0,,已出售,568.0,,,,False,1,False,False
15,3722015149,1,1,7,2022-04-24,300,1,4,,,,,0.0,1.0,,,,,,,,,,,,0.0,,2023-11-13,19616.0,,已出售,568.0,,,,False,1,False,False
16,3720306877,1,1,7,2022-04-24,270,1,4,,,,,0.0,1.0,,,,,,,,,,,,0.0,,2023-11-13,22592.0,,已出售,568.0,,,,False,1,False,False
17,3721524061,1,1,7,2022-09-20,270,1,4,,,,,0.0,0.0,,,,,,,,,,,,0.0,,2023-11-13,22144.0,,已出售,419.0,,,,False,1,False,False
18,3720331837,1,1,7,2022-04-24,260,1,4,,,,,0.0,1.0,,,,,,,,,,,,0.0,,2023-11-13,21056.0,,已出售,568.0,,,,False,1,False,False
19,3720820301,1,1,7,2022-04-24,320,1,4,,,,,0.0,1.0,,,,,,,,,,,,0.0,,2023-11-13,20896.0,,已出售,568.0,,,,False,1,False,False
20,3722068589,1,1,7,2022-04-24,300,1,4,,,,,0.0,1.0,,,,,,,,,,,,0.0,,2023-11-13,22496.0,,已出售,568.0,,,,False,1,False,False
21,3720769485,1,1,7,2022-04-24,320,1,4,,,,,0.0,1.0,,,,,,,,,,,,0.0,,2023-11-13,20032.0,,已出售,568.0,,,,False,1,False,False
22,3721893981,1,1,7,2022-04-24,300,1,4,,,,,0.0,1.0,,,,,,,,,,,,0.0,,2023-11-13,22240.0,,已出售,568.0,,,,False,1,False,False
