资产 ID,智能耳标编号,牛只品种,性别,登记月龄,出生日期,初始体重,当前状态,引入渠道ID,引入渠道名称,平均日增重,成长记录次数,最新体重,累计用药次数,累计防疫次数,总增重,精料总量_kg,草料总量_kg,酒糟总量_kg,饲料总花费_元,喂养天数,日均精料_kg,日均草料_kg,日均酒糟_kg,日均花费_元,精料转化率,总饲料_kg,总饲料转化率,出售日期,出售价格,死亡日期,最终结局,总生命周期(天),每公斤增重成本,出栏盈亏,日均成本,has_growth,is_adg_outlier,has_feed,has_cost
2653,202308276938,1,1,8,2023-03-13,429,0,10,内蒙通辽交易市场,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,存栏,,,,,False,1,False,False
971,202109185352,1,1,8,2022-08-12,397,1,10,内蒙通辽交易市场,,,,0.0,0.0,,,,,,,,,,,,0.0,,2023-11-13,21696.0,,已出售,458.0,,,,False,1,False,False
1210,202109186045,1,1,8,2022-08-12,282,1,10,内蒙通辽交易市场,,,,0.0,0.0,,,,,,,,,,,,0.0,,2023-11-13,23328.0,,已出售,458.0,,,,False,1,False,False
3965,Q2210000243,1,1,8,2023-01-05,245,1,17,敦化牧场,0.9432563611475852,20.0,816.0,0.0,0.0,571.0,,,,,,,,,,,0.0,,2025-05-26,1.0,,已出售,872.0,,,,True,0,False,False
974,202109185809,1,1,8,2022-08-12,212,1,10,内蒙通辽交易市场,,,,0.0,0.0,,,,,,,,,,,,0.0,,2023-11-13,19712.0,,已出售,458.0,,,,False,1,False,False
193,MK2210000025,1,1,10,2022-06-20,333,1,5,,,,,0.0,1.0,,,,,,,,,,,,0.0,,2023-11-13,21440.0,,已出售,511.0,,,,False,1,False,False
499,2022600264,1,1,6,2022-11-15,333,1,5,,,,,0.0,0.0,,,,,,,,,,,,0.0,,2023-11-13,21280.0,,已出售,363.0,,,,False,1,False,False
3616,e280689420004022a1515523,1,1,11,2023-02-28,303,0,17,敦化牧场,1.0024150511149954,17.0,817.0,0.0,2.0,514.0,,,,,,,,,,,0.0,,,,,存栏,,,,,True,0,False,False
197,MK2210000029,1,1,10,2022-07-15,333,1,5,,,,,0.0,1.0,,,,,,,,,,,,0.0,,2023-11-13,20704.0,,已出售,486.0,,,,False,1,False,False
3746,2210000402,1,1,8,2024-09-12,242,1,19,绵阳强牧农业科技有限公司,1.0473048456919425,12.0,620.0,0.0,2.0,378.0,382.434,110.6037,555.9732,1305.7419,57.0,6.709368421052632,1.940415789473684,9.753915789473684,22.907752631578948,0.9884058425767582,1049.0109,0.3603394397522466,2025-05-28,16632.0,,已出售,258.0,3.4543436507936507,15326.2581,22.907752631578948,True,0,True,True
2858,202307091337,1,1,8,2023-03-13,463,0,10,内蒙通辽交易市场,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,存栏,,,,,False,1,False,False
3112,202308286899,1,1,8,2023-03-13,444,0,10,内蒙通辽交易市场,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,存栏,,,,,False,1,False,False
3369,202308287156,1,1,8,2023-03-13,424,0,10,内蒙通辽交易市场,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,存栏,,,,,False,1,False,False
3117,202308286904,1,1,8,2023-03-13,450,0,10,内蒙通辽交易市场,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,存栏,,,,,False,1,False,False
3273,202308287060,1,1,8,2023-03-13,460,0,10,内蒙通辽交易市场,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,存栏,,,,,False,1,False,False
1197,202109186032,1,1,8,2022-08-12,235,1,10,内蒙通辽交易市场,,,,0.0,0.0,,,,,,,,,,,,0.0,,2023-11-13,20096.0,,已出售,458.0,,,,False,1,False,False
3726,2210000305,1,1,13,2023-03-10,286,1,17,敦化牧场,0.8904956124088493,10.0,565.0,0.0,2.0,279.0,,,,,,,,,,,0.0,,2024-11-20,14695.0,,已出售,621.0,,,,True,0,False,False
2859,202307091338,1,1,8,2023-03-13,493,0,10,内蒙通辽交易市场,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,存栏,,,,,False,1,False,False
891,202109185272,1,1,8,2022-08-12,303,1,10,内蒙通辽交易市场,,,,0.0,0.0,,,,,,,,,,,,0.0,,2023-11-13,19808.0,,已出售,458.0,,,,False,1,False,False
1060,202109185895,1,1,8,2022-08-12,222,1,10,内蒙通辽交易市场,,,,0.0,0.0,,,,,,,,,,,,0.0,,2023-11-13,22144.0,,已出售,458.0,,,,False,1,False,False
